ticker,date,n_methods_flagged,return_%,vol_ratio
AAPL,2020-03-02,4,9.31,2.03
AAPL,2024-06-11,4,7.26,2.94
AMC,2020-11-09,4,51.41,6.86
AMC,2023-07-24,4,32.95,7.43
AMC,2024-05-13,4,78.35,10.9
GME,2020-10-08,4,44.12,5.92
GME,2021-01-13,4,57.39,8.43
GME,2021-01-26,4,92.71,3.28
GME,2023-03-22,4,35.24,9.36
GME,2025-03-27,4,-22.11,8.51
GME,2025-06-12,4,-22.45,8.02
NVDA,2021-11-04,4,12.04,4.19
TSLA,2019-07-25,4,-13.61,2.55
TSLA,2019-10-24,4,17.67,3.52
TSLA,2020-02-05,4,-17.18,1.91
TSLA,2020-09-08,4,-21.06,1.26
TSLA,2021-03-09,4,19.64,1.79
TSLA,2024-10-24,4,21.92,2.57
AAPL,2024-05-03,3,5.98,2.48
AAPL,2025-04-03,3,-9.25,1.88
AMC,2020-03-19,3,36.44,1.53
AMC,2022-03-28,3,44.91,4.05
AMC,2022-08-22,3,-41.95,2.45
AMC,2024-05-14,3,31.98,8.12
GME,2021-01-29,3,67.87,0.8
GME,2021-02-02,3,-60.0,1.14
GME,2021-02-24,3,103.94,2.11
GME,2021-06-10,3,-27.16,2.25
GME,2023-11-29,3,20.46,9.27
GME,2024-05-14,3,60.1,6.49
NVDA,2023-02-23,3,14.02,2.05
NVDA,2025-01-27,3,-16.97,3.46
TSLA,2020-02-03,3,19.89,2.2
TSLA,2020-03-19,3,18.39,1.59
TSLA,2020-03-24,3,16.28,1.14
TSLA,2021-10-25,3,12.66,2.89
TSLA,2024-04-29,3,15.31,2.15
TSLA,2025-06-05,3,-14.26,2.49
