method,tp,fp,fn,precision,recall,f1,n_flagged_total
zscore_w30_t3.0,12,173,1,0.0649,0.9231,0.1212,187
zscore_w30_t3.5,11,99,2,0.1,0.8462,0.1789,112
iqr_w30_k3.0,9,96,4,0.0857,0.6923,0.1525,109
iforest_c0.01,11,73,2,0.131,0.8462,0.2268,90
iforest_c0.02,12,156,1,0.0714,0.9231,0.1326,175
iforest_c0.05,13,407,0,0.031,1.0,0.06,435
lof_n20_c0.01,11,77,2,0.125,0.8462,0.2178,90
lof_n20_c0.02,11,158,2,0.0651,0.8462,0.1209,175
lof_n50_c0.02,12,156,1,0.0714,0.9231,0.1326,175
lstm_ae_k2.0,5,370,8,0.0133,0.3846,0.0258,382
lstm_ae_k2.5,4,209,9,0.0188,0.3077,0.0354,218
lstm_ae_k3.0,3,142,10,0.0207,0.2308,0.038,149
lstm_ae_pct0.02,3,169,10,0.0174,0.2308,0.0324,175
lstm_ae_pct0.05,7,416,6,0.0165,0.5385,0.0321,430
